location,total_sqft,bath,bhk
Electronic City Phase II,1020.0,2.0,2
Kalena Agrahara,1200.0,2.0,2
Thanisandra,1735.0,3.0,3
Thanisandra,2050.0,3.0,3
Mahalakshmi Layout,3750.0,4.0,4
Hosa Road,1063.0,2.0,2
other,1904.0,3.0,3
Whitefield,4200.0,4.0,4
other,2000.0,3.0,3
Sarjapur,1242.5,2.0,2
Electronic City,1500.0,2.0,3
Electronic City,1060.0,2.0,2
Attibele,450.0,1.0,1
Electronic City,1152.0,2.0,2
other,1500.0,3.0,3
Kumaraswami Layout,600.0,3.0,5
Nagavara,400.0,1.0,1
Malleshwaram,705.0,1.0,1
Hulimavu,1242.0,2.0,2
Hebbal Kempapura,1700.0,3.0,3
Thanisandra,2144.0,3.0,3
other,1846.0,3.0,3
KR Puram,1277.5,2.0,2
Marathahalli,1200.0,2.0,2
Pattandur Agrahara,1550.0,2.0,3
Bellandur,1200.0,5.0,4
other,1800.0,7.0,7
Marathahalli,1200.0,2.0,2
Yelahanka,1327.0,2.0,2
Kothanur,1186.0,2.0,2
other,1783.0,3.0,3
Nagasandra,980.0,2.0,2
EPIP Zone,1285.0,2.0,2
other,912.0,2.0,3
Kogilu,1909.0,3.0,3
Panathur,1359.0,2.0,2
1st Block Jayanagar,2850.0,4.0,4
Kammasandra,1595.0,3.0,3
Electronics City Phase 1,1475.0,3.0,3
other,1580.0,3.0,3
Dasarahalli,1295.0,2.0,2
Magadi Road,3600.0,6.0,6
Electronic City,589.0,1.0,1
Sarjapur  Road,1787.0,3.0,3
Sarjapur  Road,1787.0,3.0,3
other,2405.0,4.0,3
7th Phase JP Nagar,1080.0,2.0,2
Hebbal,1900.0,3.0,3
Dommasandra,805.0,2.0,2
Kalyan nagar,1290.0,2.0,2
Chandapura,645.0,1.0,1
Chandapura,645.0,1.0,1
Electronic City,1200.0,3.0,3
other,4050.0,3.0,3
OMBR Layout,2420.0,3.0,3
7th Phase JP Nagar,1270.0,2.0,2
Horamavu Agara,1200.0,2.0,4
Electronic City,1108.0,2.0,2
other,1200.0,5.0,5
Ambedkar Nagar,2900.0,3.0,4
Raja Rajeshwari Nagar,1295.0,2.0,2
Budigere,1162.0,2.0,2
Kalena Agrahara,1804.0,3.0,3
Sarjapur,913.0,2.0,2
Talaghattapura,1868.0,3.0,3
Kengeri Satellite Town,883.0,2.0,2
other,900.0,2.0,2
Hegde Nagar,2026.0,3.0,3
Balagere,1210.0,2.0,2
Kadugodi,1762.0,3.0,3
Gollarapalya Hosahalli,861.0,2.0,2
7th Phase JP Nagar,1420.0,2.0,3
other,1450.0,6.0,6
Electronics City Phase 1,1490.0,3.0,3
Bisuvanahalli,1075.0,2.0,3
Old Madras Road,1425.0,2.0,3
Kalena Agrahara,1200.0,2.0,2
Kaggadasapura,1280.0,2.0,3
Haralur Road,1027.0,2.0,2
Electronic City Phase II,1069.0,2.0,2
Hebbal,1349.0,2.0,2
9th Phase JP Nagar,1005.0,2.0,2
Jakkur,1417.0,2.0,2
TC Palaya,1475.0,3.0,3
Giri Nagar,880.0,3.0,3
Singasandra,1010.0,2.0,2
Kalena Agrahara,1425.0,2.0,3
Vijayanagar,1450.0,3.0,3
Kothanur,1847.0,3.0,3
AECS Layout,1100.0,2.0,2
Kanakpura Road,525.0,1.0,1
Mallasandra,1665.0,3.0,3
JP Nagar,1850.0,3.0,3
Panathur,1438.0,2.0,2
other,1560.0,3.0,3
Malleshpalya,1140.0,2.0,2
other,1200.0,5.0,5
Whitefield,1280.0,2.0,2
Munnekollal,1170.0,2.0,2
Hennur Road,1385.0,2.0,2
Electronic City,1128.0,2.0,2
Marathahalli,1200.0,2.0,2
other,1200.0,4.0,4
Rajaji Nagar,2390.0,3.0,3
Giri Nagar,2400.0,4.0,4
Kaval Byrasandra,1200.0,2.0,2
other,1645.0,3.0,3
Sarjapur  Road,1000.0,2.0,2
Haralur Road,2650.0,4.0,4
6th Phase JP Nagar,1192.0,2.0,2
Ulsoor,2135.0,3.0,3
Uttarahalli,1020.0,2.0,2
Devarachikkanahalli,1250.0,2.0,2
Kalena Agrahara,1325.0,2.0,2
7th Phase JP Nagar,1850.0,3.0,3
Basaveshwara Nagar,1200.0,2.0,2
other,1350.0,2.0,3
Bommasandra,1260.0,3.0,3
other,1800.0,3.0,3
other,11.0,3.0,3
Ardendale,1100.0,2.0,2
Harlur,1508.0,2.0,2
Akshaya Nagar,1388.0,2.0,2
Electronic City Phase II,630.0,1.0,1
other,2000.0,3.0,3
other,1762.0,3.0,3
Kodihalli,3252.0,5.0,4
Magadi Road,1116.0,2.0,2
Narayanapura,1308.0,2.0,2
other,1200.0,3.0,3
other,1500.0,4.0,4
Bannerghatta Road,500.0,1.0,1
Hennur,1075.0,2.0,2
Chandapura,530.0,1.0,1
Bellandur,1205.0,2.0,2
5th Phase JP Nagar,1075.0,2.0,2
KR Puram,930.0,2.0,2
Hebbal,2483.0,5.0,4
Kodigehaali,1166.0,2.0,2
Bannerghatta Road,1050.0,2.0,2
other,2023.71,3.0,3
Begur Road,1200.0,2.0,2
Lakshminarayana Pura,1600.0,2.0,3
8th Phase JP Nagar,451.0,1.0,1
Electronic City,1800.0,3.0,3
Hegde Nagar,1801.0,3.0,3
Mahadevpura,1451.0,2.0,2
Begur Road,1160.0,2.0,2
Vijayanagar,1580.0,2.0,3
7th Phase JP Nagar,1245.0,2.0,2
Raja Rajeshwari Nagar,1145.0,2.0,2
Sompura,825.0,2.0,2
Doddathoguru,1050.0,2.0,2
Dodda Nekkundi,1260.0,2.0,2
other,700.0,3.0,6
Hosur Road,1656.0,2.0,2
Chandapura,1208.0,3.0,3
Whitefield,1910.0,3.0,3
Whitefield,3252.0,4.0,4
Battarahalli,1200.0,2.0,2
other,1200.0,4.0,4
7th Phase JP Nagar,1175.0,2.0,2
other,1000.0,2.0,2
Bannerghatta Road,1200.0,2.0,4
Rajaji Nagar,2390.0,3.0,3
Sultan Palaya,550.0,1.0,2
Kengeri,750.0,2.0,2
Mahalakshmi Layout,1200.0,7.0,6
Billekahalli,1125.0,2.0,2
Nagarbhavi,1350.0,3.0,3
Anandapura,1000.0,2.0,2
Bommasandra Industrial Area,1090.0,2.0,2
TC Palaya,1200.0,2.0,2
Budigere,1991.0,4.0,3
Bommasandra,1060.0,2.0,2
Ambalipura,1105.0,2.0,2
Hoodi,985.0,2.0,2
Chandapura,1533.0,5.0,6
CV Raman Nagar,1120.0,2.0,2
Marathahalli,1933.0,3.0,3
Hosur Road,1194.0,2.0,2
Brookefield,1150.0,2.0,2
Yelenahalli,1240.0,2.0,2
Raja Rajeshwari Nagar,1419.0,2.0,2
7th Phase JP Nagar,1200.0,8.0,8
other,2150.0,4.0,3
Dasanapura,708.0,1.0,2
Kasavanhalli,1000.0,4.0,3
Bellandur,1250.0,2.0,2
7th Phase JP Nagar,1400.0,2.0,3
Ardendale,1750.0,3.0,3
Vittasandra,1404.0,2.0,2
Electronic City,630.0,1.0,1
Harlur,1752.12,3.0,3
Raja Rajeshwari Nagar,1295.0,2.0,2
Giri Nagar,1800.0,3.0,3
Sarjapur  Road,1346.0,2.0,2
other,1200.0,4.0,4
Hormavu,1150.0,2.0,2
other,3309.0,4.0,4
AECS Layout,1620.0,3.0,3
Marathahalli,950.0,2.0,2
Padmanabhanagar,1020.0,2.0,2
Chikkalasandra,1100.0,2.0,2
other,1150.0,2.0,2
Hebbal,1760.0,2.0,3
Ambalipura,1800.0,3.0,3
Akshaya Nagar,1070.0,2.0,2
2nd Stage Nagarbhavi,1500.0,4.0,4
Vidyaranyapura,1440.0,2.0,2
Amruthahalli,900.0,2.0,2
other,1200.0,4.0,4
Koramangala,1320.0,2.0,2
Kodigehalli,1270.0,2.0,2
Subramanyapura,929.0,2.0,2
other,1150.0,4.0,4
Basavangudi,1125.0,4.0,4
Kenchenahalli,500.0,3.0,5
other,1200.0,5.0,5
7th Phase JP Nagar,3600.0,4.0,4
Chikkalasandra,1208.0,2.0,2
Hebbal Kempapura,1130.0,2.0,2
other,1753.0,3.0,3
Banjara Layout,600.0,3.0,3
Hoodi,1196.0,2.0,2
5th Phase JP Nagar,1150.0,3.0,2
Electronic City,1128.0,2.0,2
Kereguddadahalli,950.0,2.0,2
Lingadheeranahalli,1511.0,3.0,3
Shampura,375.0,2.0,1
Vidyaranyapura,1062.0,2.0,2
JP Nagar,1000.0,2.0,2
Kambipura,883.0,2.0,2
Sarjapur  Road,1195.0,2.0,2
other,1200.0,3.0,4
other,700.0,1.0,1
Vittasandra,1246.0,2.0,2
8th Phase JP Nagar,660.0,4.0,4
Begur Road,1584.0,3.0,3
other,1595.0,3.0,3
Electronic City,1599.0,3.0,3
Whitefield,1150.0,2.0,2
KR Puram,1155.0,2.0,2
other,1200.0,2.0,1
Electronic City Phase II,1000.0,2.0,2
Rajiv Nagar,1867.0,3.0,3
Ramagondanahalli,1251.0,2.0,2
Arekere,1222.0,2.0,2
Bannerghatta Road,1170.0,2.0,3
Hebbal,2400.0,4.0,3
HSR Layout,1372.0,2.0,2
Mico Layout,5000.0,9.0,9
other,3000.0,3.0,5
Whitefield,1768.0,3.0,3
other,1325.0,2.0,3
Electronic City,1599.0,3.0,3
other,2610.0,3.0,3
Uttarahalli,1286.0,2.0,2
Kammanahalli,2845.0,5.0,5
Hennur Road,1317.5,2.0,2
Munnekollal,1102.0,2.0,2
Hosa Road,1300.0,6.0,6
Chikkabanavar,950.0,2.0,2
Kanakpura Road,525.0,1.0,1
Attibele,656.0,2.0,2
Marathahalli,1780.0,4.0,4
Bannerghatta Road,595.0,1.0,1
7th Phase JP Nagar,2225.0,3.0,3
Bommasandra,1126.0,2.0,2
Electronics City Phase 1,1490.0,3.0,3
HRBR Layout,2000.0,4.0,4
Sarjapur  Road,1550.0,3.0,3
Whitefield,4144.0,4.0,4
Sarjapur  Road,2100.0,3.0,3
Vittasandra,1404.0,2.0,2
Sarjapur  Road,2230.0,4.0,4
other,1544.0,3.0,3
Banashankari Stage III,1305.0,2.0,3
Marathahalli,1230.0,2.0,2
Gottigere,967.0,2.0,2
other,540.0,1.0,1
Hormavu,715.0,1.0,1
Whitefield,2500.0,3.0,3
other,1578.0,3.0,3
Mysore Road,1020.0,2.0,2
Jigani,1020.0,2.0,2
Koramangala,1253.0,2.0,2
Nehru Nagar,961.0,2.0,2
Kanakapura,1419.0,3.0,3
Harlur,1709.0,3.0,3
other,416.0,1.0,1
Sanjay nagar,1100.0,2.0,2
Kalena Agrahara,1450.0,2.0,3
Konanakunte,2791.0,3.0,3
other,600.0,1.0,1
other,834.0,1.0,1
other,1125.0,4.0,3
Arekere,2060.0,3.0,3
Gottigere,891.0,2.0,2
Raja Rajeshwari Nagar,1133.0,2.0,2
other,3000.0,5.0,4
Brookefield,2440.0,5.0,4
Vidyaranyapura,1200.0,2.0,2
Kaggadasapura,1140.0,2.0,2
Margondanahalli,940.0,4.0,5
Raja Rajeshwari Nagar,1090.0,2.0,2
Whitefield,4104.0,4.0,4
Whitefield,1790.0,3.0,3
Hebbal,1920.0,3.0,3
HRBR Layout,1374.0,2.0,2
Bannerghatta Road,1445.0,3.0,3
Kanakapura,711.0,1.0,1
Tumkur Road,1500.0,3.0,3
Whitefield,1720.0,3.0,3
Vasanthapura,1400.0,3.0,3
Kundalahalli,1030.0,2.0,2
Mysore Road,1200.0,2.0,2
Hegde Nagar,1050.0,1.0,2
Jalahalli,2250.0,3.0,3
Bellandur,1000.0,2.0,2
other,469.0,1.0,1
Marathahalli,3800.0,4.0,4
Kambipura,883.0,2.0,2
GM Palaya,1820.0,2.0,3
Singasandra,1440.0,2.0,3
Malleshwaram,2500.0,5.0,4
Mahadevpura,1225.0,2.0,2
other,4000.0,3.0,3
Chikkalasandra,875.0,2.0,2
Jalahalli East,750.0,1.0,1
6th Phase JP Nagar,1180.0,2.0,2
Haralur Road,1194.0,2.0,2
Hosakerehalli,2378.0,3.0,3
Sarjapur,1128.0,2.0,2
Hebbal,1500.0,3.0,3
Bommasandra,1200.0,3.0,3
Haralur Road,3385.0,5.0,4
Horamavu Agara,1200.0,2.0,2
Raja Rajeshwari Nagar,1260.0,2.0,2
Bisuvanahalli,1075.0,2.0,3
Thanisandra,1702.0,3.0,3
other,1630.0,2.0,2
Raja Rajeshwari Nagar,1141.0,2.0,2
other,1200.0,2.0,3
other,1350.0,3.0,3
other,4046.0,4.0,4
other,1180.0,2.0,3
other,600.0,1.0,1
Hormavu,1200.0,7.0,7
Bannerghatta Road,1640.0,2.0,3
Kodichikkanahalli,1190.0,2.0,3
OMBR Layout,2400.0,4.0,4
Marathahalli,1019.0,2.0,2
other,1875.0,3.0,3
Brookefield,1200.0,3.0,3
Lingadheeranahalli,1683.0,3.0,3
Kaggadasapura,1515.0,3.0,3
Varthur Road,1083.0,2.0,2
other,1750.0,3.0,3
Anjanapura,1500.0,3.0,3
Abbigere,985.0,2.0,2
Tindlu,1500.0,2.0,3
other,1092.0,2.0,3
Electronic City Phase II,1090.0,2.0,2
Hennur Road,2264.0,3.0,3
Kammasandra,810.0,2.0,2
Hebbal,1337.0,2.0,2
Chandapura,1200.0,2.0,2
Koramangala,1580.0,3.0,3
Whitefield,1640.0,4.0,3
Gubbalala,1470.0,2.0,3
7th Phase JP Nagar,1050.0,2.0,2
Dairy Circle,1855.0,3.0,3
Bannerghatta Road,1460.0,2.0,3
Hulimavu,1823.0,3.0,3
Parappana Agrahara,1200.0,3.0,4
Jakkur,1590.0,2.0,3
other,1210.0,4.0,5
Raja Rajeshwari Nagar,1200.0,4.0,4
Haralur Road,1202.0,2.0,2
Panathur,1688.0,3.0,3
Kaval Byrasandra,1020.0,2.0,2
Sarjapur,1185.0,2.0,2
Ramagondanahalli,1235.0,2.0,2
Hosakerehalli,3205.0,5.0,4
Banashankari,1077.0,2.0,2
Kengeri Satellite Town,1415.0,2.0,3
EPIP Zone,2330.0,3.0,3
other,425.0,1.0,1
Cunningham Road,5270.0,4.0,4
Anekal,656.0,2.0,2
Mahadevpura,1150.0,2.0,2
other,600.0,1.0,1
other,1468.0,2.0,2
other,4300.0,5.0,4
Whitefield,2280.0,4.0,3
Hegde Nagar,1341.0,2.0,2
Jakkur,1279.0,2.0,2
Electronic City Phase II,2225.0,4.0,4
Kudlu,1152.0,2.0,2
other,1000.0,4.0,5
Hulimavu,1300.0,2.0,2
Varthur Road,2760.0,4.0,4
5th Phase JP Nagar,1070.0,2.0,2
Uttarahalli,1101.0,2.0,2
Yeshwanthpur,667.0,1.0,1
Electronic City,1070.0,2.0,2
Kundalahalli,735.0,2.0,2
Marathahalli,1215.0,2.0,2
other,600.0,9.0,9
Vishwapriya Layout,820.0,2.0,2
Banashankari Stage VI,1177.5,2.0,2
Battarahalli,1779.0,3.0,3
Jalahalli,1694.0,2.0,2
Hosakerehalli,2376.0,3.0,3
Kammasandra,674.0,2.0,2
Kaggadasapura,1185.0,2.0,2
Thanisandra,445.0,1.0,1
HSR Layout,1475.0,3.0,3
Gottigere,1618.0,3.0,3
Koramangala,1120.0,2.0,2
Marathahalli,2181.0,3.0,4
Vidyaranyapura,1200.0,4.0,4
Bannerghatta Road,1179.0,2.0,2
Thanisandra,1296.0,2.0,2
Kaggadasapura,1275.0,2.0,2
other,1875.0,2.0,7
Kathriguppe,1400.0,2.0,3
Gottigere,1222.0,2.0,2
Tumkur Road,1779.0,3.0,3
Haralur Road,1056.0,2.0,2
7th Phase JP Nagar,1100.0,2.0,2
Arekere,920.0,2.0,2
Padmanabhanagar,1176.0,2.0,2
HBR Layout,675.0,3.0,4
other,1352.0,3.0,3
Kasavanhalli,1717.0,3.0,3
Vittasandra,1246.0,2.0,2
Anandapura,1141.0,2.0,2
Hennur Road,1157.0,2.0,2
Chandapura,1025.0,2.0,2
Yelahanka New Town,650.0,1.0,1
Hebbal,1349.0,2.0,2
Varthur,1091.0,2.0,2
Rachenahalli,3670.0,4.0,4
7th Phase JP Nagar,918.0,2.0,2
Yelahanka,1705.0,3.0,3
Kanakpura Road,525.0,1.0,1
Whitefield,1447.0,2.0,2
7th Phase JP Nagar,1450.0,2.0,3
Vasanthapura,1022.0,2.0,2
Hebbal,1000.0,2.0,2
Electronic City,1128.0,2.0,2
TC Palaya,1000.0,6.0,6
Nagarbhavi,1200.0,2.0,2
Sadashiva Nagar,3761.0,3.0,3
Kanakpura Road,1339.0,2.0,2
7th Phase JP Nagar,1040.0,2.0,2
Kadugodi,1198.0,2.0,2
Sarjapur  Road,1691.0,3.0,3
1st Block Jayanagar,1630.0,3.0,3
Bannerghatta Road,1122.5,2.0,2
Brookefield,1142.0,2.0,2
other,1976.0,3.0,3
Kothannur,1853.0,3.0,3
Vijayanagar,600.0,4.0,8
Kasturi Nagar,1567.0,2.0,2
Talaghattapura,1090.0,2.0,2
Raja Rajeshwari Nagar,1200.0,4.0,6
other,2400.0,4.0,4
Subramanyapura,1200.0,2.0,2
Kodichikkanahalli,995.0,2.0,2
Magadi Road,884.0,2.0,2
KR Puram,1225.0,2.0,2
Electronic City,1342.0,2.0,2
Uttarahalli,1345.0,2.0,2
Kodigehaali,1320.0,3.0,3
Raja Rajeshwari Nagar,1140.0,2.0,2
Battarahalli,1300.0,2.0,2
Hosa Road,1652.0,3.0,3
Arekere,1740.0,2.0,3
Electronic City,1360.0,2.0,3
Sarjapur  Road,1278.0,2.0,2
Electronic City Phase II,630.0,1.0,1
other,1200.0,3.0,3
Chandapura,582.5,1.0,1
Hosur Road,3300.0,5.0,5
Basaveshwara Nagar,4500.0,5.0,5
Gunjur,1356.0,2.0,3
Ramamurthy Nagar,1050.0,2.0,2
7th Phase JP Nagar,1070.0,2.0,2
Varthur,1385.0,2.0,2
Varthur,1000.0,1.0,1
Whitefield,1897.0,3.0,3
Magadi Road,1005.0,2.0,2
Green Glen Layout,1575.0,3.0,3
Subramanyapura,975.0,2.0,2
Hennur Road,1904.0,3.0,3
Kengeri Satellite Town,930.0,1.0,1
Kanakpura Road,525.0,1.0,1
other,686.0,1.0,1
Electronic City Phase II,2400.0,3.0,2
other,1410.0,1.0,2
Sarjapur  Road,2238.0,3.0,3
Harlur,1174.0,2.0,2
Thubarahalli,3800.0,4.0,4
Whitefield,2225.0,2.0,3
other,1250.0,2.0,2
Jigani,918.0,2.0,2
Mahadevpura,1250.0,2.0,2
Sarjapur  Road,1800.0,3.0,3
Marathahalli,1170.0,2.0,2
other,1300.0,1.0,1
Bannerghatta Road,793.0,2.0,2
Jakkur,1710.0,3.0,3
Kambipura,1082.0,2.0,3
Naganathapura,1001.0,2.0,2
other,1500.0,4.0,4
Bellandur,4239.0,5.0,5
Konanakunte,884.0,1.0,2
Hosa Road,1045.0,2.0,2
Marathahalli,1019.0,2.0,2
Ambedkar Nagar,1935.0,4.0,3
Lakshminarayana Pura,1680.0,3.0,3
Hebbal,2470.0,5.0,4
Hosakerehalli,2480.0,3.0,3
Ramamurthy Nagar,1800.0,4.0,5
Attibele,400.0,1.0,1
Kundalahalli,1047.0,2.0,2
NGR Layout,1020.0,2.0,2
Kammanahalli,1080.0,3.0,4
Kasavanhalli,3260.0,4.0,4
Koramangala,3500.0,5.0,4
other,1500.0,2.0,3
Sahakara Nagar,1500.0,2.0,3
Yelahanka,3206.0,5.0,4
Hosa Road,1639.0,3.0,3
Marathahalli,700.0,4.0,4
Raja Rajeshwari Nagar,1303.0,2.0,2
Koramangala,1005.0,1.0,2
Kammasandra,657.5,1.0,1
Kothannur,600.0,4.0,3
Seegehalli,901.0,2.0,2
Sarjapur,900.0,2.0,3
BEML Layout,1060.0,2.0,2
NGR Layout,1020.0,2.0,2
Varthur,1535.0,3.0,3
other,530.0,1.0,1
Uttarahalli,1175.0,2.0,2
Uttarahalli,1200.0,4.0,6
Ramamurthy Nagar,1640.0,4.0,5
Giri Nagar,650.0,2.0,2
Marathahalli,1325.0,2.0,2
Jakkur,1396.0,2.0,3
Thanisandra,1825.0,3.0,3
7th Phase JP Nagar,1190.0,2.0,2
Marathahalli,1220.0,2.0,2
Hennur Road,1891.0,3.0,3
Hosa Road,1161.0,2.0,2
Sarjapur,649.5,1.0,1
Rajaji Nagar,315.0,4.0,4
Yeshwanthpur,665.0,1.0,1
Mysore Road,1175.0,2.0,2
Hoodi,1425.0,2.0,2
Chikkabanavar,1200.0,1.0,1
ITPL,1200.0,3.0,3
Somasundara Palya,1255.0,2.0,2
Hegde Nagar,2112.95,4.0,3
Raja Rajeshwari Nagar,600.0,1.0,1
Haralur Road,1810.0,3.0,3
Indira Nagar,1200.0,2.0,2
Harlur,1033.0,2.0,2
ITPL,1548.0,3.0,3
Margondanahalli,2400.0,2.0,2
Pattandur Agrahara,1025.0,2.0,2
other,600.0,3.0,4
5th Phase JP Nagar,1256.0,2.0,2
Whitefield,2268.0,3.0,4
Attibele,400.0,1.0,1
Chandapura,1400.0,2.0,2
other,15.0,1.0,1
Sahakara Nagar,1100.0,2.0,2
1st Phase JP Nagar,1200.0,7.0,8
Horamavu Banaswadi,1460.0,2.0,2
Rachenahalli,1530.0,2.0,3
HSR Layout,1467.0,2.0,2
other,950.0,1.0,1
Vittasandra,1246.0,2.0,2
Kanakapura,711.0,1.0,1
Haralur Road,1194.0,2.0,2
Nagasandra,1500.0,5.0,6
Hoodi,1420.0,2.0,2
Kathriguppe,1250.0,2.0,3
Akshaya Nagar,1280.0,2.0,2
Nagappa Reddy Layout,1209.0,2.0,2
BTM 1st Stage,1215.0,4.0,4
other,3968.0,5.0,6
other,900.0,10.0,9
Iblur Village,3235.0,3.0,3
HSR Layout,1140.0,2.0,2
7th Phase JP Nagar,1500.0,3.0,3
Horamavu Agara,1560.0,3.0,3
JP Nagar,1100.0,2.0,2
Hebbal,1036.0,2.0,2
Akshaya Nagar,1662.0,3.0,3
Yelachenahalli,1464.0,2.0,3
Yelahanka,1234.0,2.0,2
Hebbal,3900.0,4.0,4
Yeshwanthpur,850.0,4.0,5
Kanakapura,929.0,2.0,2
Vasanthapura,1135.0,2.0,2
Kanakpura Road,1290.0,2.0,2
other,1480.0,3.0,3
Banashankari,1470.0,2.0,3
Ananth Nagar,500.0,1.0,1
other,1600.0,3.0,3
Naganathapura,720.0,2.0,2
other,1200.0,4.0,4
Basapura,1200.0,2.0,2
Jigani,918.0,2.0,2
other,1500.0,3.0,3
Yelahanka,1315.0,2.0,2
Sector 1 HSR Layout,2400.0,5.0,4
Uttarahalli,1390.0,2.0,3
Uttarahalli,1330.0,2.0,3
Jalahalli,3100.0,4.0,5
other,1824.0,3.0,3
7th Phase JP Nagar,1420.0,2.0,3
other,750.0,1.0,1
Jalahalli East,1260.0,2.0,3
Hennur Road,1561.0,3.0,3
5th Phase JP Nagar,812.0,6.0,9
Hoodi,1120.0,8.0,8
Haralur Road,1225.0,2.0,2
Thanisandra,2144.0,3.0,3
Kengeri,1200.0,6.0,7
Hoodi,1639.0,3.0,3
Thanisandra,1240.0,2.0,3
Haralur Road,1243.0,2.0,2
Haralur Road,1027.0,2.0,2
Kambipura,1082.0,2.0,3
Konanakunte,1637.0,3.0,3
Electronic City,1691.0,2.0,3
other,24.0,2.0,5
Hosakerehalli,3205.0,5.0,4
Kammanahalli,1666.0,4.0,5
Choodasandra,1115.0,2.0,2
Mysore Road,1070.0,2.0,2
Indira Nagar,1128.0,2.0,2
Mahadevpura,1192.0,2.0,2
Haralur Road,1920.0,3.0,3
Hennur,1255.0,2.0,2
Rajaji Nagar,1357.0,2.0,2
Whitefield,2400.0,4.0,4
Thanisandra,1093.0,2.0,2
Basaveshwara Nagar,1865.0,3.0,3
R.T. Nagar,1200.0,7.0,6
Kaikondrahalli,1039.0,2.0,2
Vittasandra,1246.0,2.0,2
other,4000.0,4.0,4
Electronic City Phase II,775.0,2.0,2
Hebbal Kempapura,1800.0,3.0,3
Bommasandra,1035.0,2.0,2
Dasarahalli,1520.0,2.0,3
Whitefield,1360.0,2.0,2
Kodigehaali,1117.0,2.0,2
